Sample_ID	Timepoint	SampleType	Genotype	Treatment	Replicate	TreatmentByTimepoint5
P1	Positive	Positive	Positive	Positive	Positive	PositivePositive
TP4_L14	TP4	Leaf	BT642	Pre_flowering	2	Pre_floweringTP04
TP4_L17	TP4	Leaf	BT642	Pre_flowering	1	Pre_floweringTP04
TP4_L18	TP4	Leaf	RT430	Pre_flowering	1	Pre_floweringTP04
TP4_L19	TP4	Leaf	BT642	Control	2	ControlTP04
TP4_L2	TP4	Leaf	BT642	Control	1	ControlTP04
TP4_L20	TP4	Leaf	RT430	Control	2	ControlTP04
TP4_L5	TP4	Leaf	RT430	Pre_flowering	3	Pre_floweringTP04
TP4_L6	TP4	Leaf	BT642	Pre_flowering	3	Pre_floweringTP04
TP5_L1	TP5	Leaf	RT430	Control	1	ControlTP05
TP5_L11	TP5	Leaf	BT642	Control	3	ControlTP05
TP5_L12	TP5	Leaf	RT430	Control	3	ControlTP05
TP5_L13	TP5	Leaf	RT430	Pre_flowering	2	Pre_floweringTP05
TP5_L14	TP5	Leaf	BT642	Pre_flowering	2	Pre_floweringTP05
TP5_L17	TP5	Leaf	BT642	Pre_flowering	1	Pre_floweringTP05
TP5_L18	TP5	Leaf	RT430	Pre_flowering	1	Pre_floweringTP05
TP5_L19	TP5	Leaf	BT642	Control	2	ControlTP05
TP5_L2	TP5	Leaf	BT642	Control	1	ControlTP05
TP5_L20	TP5	Leaf	RT430	Control	2	ControlTP05
TP5_L5	TP5	Leaf	RT430	Pre_flowering	3	Pre_floweringTP05
TP5_L6	TP5	Leaf	BT642	Pre_flowering	3	Pre_floweringTP05
TP6_L1	TP6	Leaf	RT430	Control	1	ControlTP06
TP6_L11	TP6	Leaf	BT642	Control	3	ControlTP06
TP6_L12	TP6	Leaf	RT430	Control	3	ControlTP06
TP6_L13	TP6	Leaf	RT430	Pre_flowering	2	Pre_floweringTP06
TP6_L14	TP6	Leaf	BT642	Pre_flowering	2	Pre_floweringTP06
TP6_L17	TP6	Leaf	BT642	Pre_flowering	1	Pre_floweringTP06
TP6_L18	TP6	Leaf	RT430	Pre_flowering	1	Pre_floweringTP06
TP6_L19	TP6	Leaf	BT642	Control	2	ControlTP06
TP6_L2	TP6	Leaf	BT642	Control	1	ControlTP06
TP6_L20	TP6	Leaf	RT430	Control	2	ControlTP06
TP6_L5	TP6	Leaf	RT430	Pre_flowering	3	Pre_floweringTP06
TP6_L6	TP6	Leaf	BT642	Pre_flowering	3	Pre_floweringTP06
TP7_L1	TP7	Leaf	RT430	Control	1	ControlTP07
TP7_L11	TP7	Leaf	BT642	Control	3	ControlTP07
TP7_L12	TP7	Leaf	RT430	Control	3	ControlTP07
TP7_L13	TP7	Leaf	RT430	Pre_flowering	2	Pre_floweringTP07
TP7_L14	TP7	Leaf	BT642	Pre_flowering	2	Pre_floweringTP07
TP7_L17	TP7	Leaf	BT642	Pre_flowering	1	Pre_floweringTP07
TP7_L18	TP7	Leaf	RT430	Pre_flowering	1	Pre_floweringTP07
TP7_L19	TP7	Leaf	BT642	Control	2	ControlTP07
TP7_L2	TP7	Leaf	BT642	Control	1	ControlTP07
TP7_L20	TP7	Leaf	RT430	Control	2	ControlTP07
TP7_L5	TP7	Leaf	RT430	Pre_flowering	3	Pre_floweringTP07
TP7_L6	TP7	Leaf	BT642	Pre_flowering	3	Pre_floweringTP07
TP8_L1	TP8	Leaf	RT430	Control	1	ControlTP08
TP8_L11	TP8	Leaf	BT642	Control	3	ControlTP08
TP8_L12	TP8	Leaf	RT430	Control	3	ControlTP08
TP8_L13	TP8	Leaf	RT430	Pre_flowering	2	Pre_floweringTP08
TP8_L14	TP8	Leaf	BT642	Pre_flowering	2	Pre_floweringTP08
TP8_L17	TP8	Leaf	BT642	Pre_flowering	1	Pre_floweringTP08
TP8_L18	TP8	Leaf	RT430	Pre_flowering	1	Pre_floweringTP08
TP8_L19	TP8	Leaf	BT642	Control	2	ControlTP08
TP8_L2	TP8	Leaf	BT642	Control	1	ControlTP08
TP8_L20	TP8	Leaf	RT430	Control	2	ControlTP08
TP8_L5	TP8	Leaf	RT430	Pre_flowering	3	Pre_floweringTP08
TP8_L6	TP8	Leaf	BT642	Pre_flowering	3	Pre_floweringTP08
TP9_L1	TP9	Leaf	RT430	Control	1	ControlTP09
TP9_L11	TP9	Leaf	BT642	Control	3	ControlTP09
TP9_L12	TP9	Leaf	RT430	Control	3	ControlTP09
TP9_L13	TP9	Leaf	RT430	Pre_flowering	2	Pre_floweringTP09
TP9_L14	TP9	Leaf	BT642	Pre_flowering	2	Pre_floweringTP09
TP9_L17	TP9	Leaf	BT642	Pre_flowering	1	Pre_floweringTP09
TP9_L18	TP9	Leaf	RT430	Pre_flowering	1	Pre_floweringTP09
TP9_L19	TP9	Leaf	BT642	Control	2	ControlTP09
TP9_L2	TP9	Leaf	BT642	Control	1	ControlTP09
TP9_L20	TP9	Leaf	RT430	Control	2	ControlTP09
TP9_L5	TP9	Leaf	RT430	Pre_flowering	3	Pre_floweringTP09
TP9_L6	TP9	Leaf	BT642	Pre_flowering	3	Pre_floweringTP09
5Prime_Positive1	5Prime	5Prime	5Prime	5Prime	1	5Prime5Prime
5Prime_Positive2	5Prime	5Prime	5Prime	5Prime	2	5Prime5Prime
5Prime_Positive3	5Prime	5Prime	5Prime	5Prime	3	5Prime5Prime
5Prime_Positive4	5Prime	5Prime	5Prime	5Prime	4	5Prime5Prime
5Prime_Positive5	5Prime	5Prime	5Prime	5Prime	5	5Prime5Prime
