Var1	Var2	value	Variation
ControlTP13	Pre_floweringTP16	0.224767651	CD
ControlTP14	Pre_floweringTP16	0.238654547	CD
ControlTP15	Pre_floweringTP16	0.264291364	CD
ControlTP16	Pre_floweringTP16	0.237999043	CD
ControlTP17	Pre_floweringTP16	0.253466766	CD
ControlTP2	Pre_floweringTP16	0.703090899	CD
ControlTP3	Pre_floweringTP16	0.76724614	CD
ControlTP4	Pre_floweringTP16	0.606311735	CD
ControlTP5	Pre_floweringTP16	0.536966218	CD
ControlTP6	Pre_floweringTP16	0.351162837	CD
ControlTP7	Pre_floweringTP16	0.315194391	CD
ControlTP8	Pre_floweringTP16	0.273437541	CD
ControlTP9	Pre_floweringTP16	0.234531699	CD
ControlTP1	Pre_floweringTP17	0.714130689	CD
ControlTP10	Pre_floweringTP17	0.267493618	CD
ControlTP11	Pre_floweringTP17	0.237603218	CD
ControlTP12	Pre_floweringTP17	0.211369229	CD
ControlTP13	Pre_floweringTP17	0.209615609	CD
ControlTP14	Pre_floweringTP17	0.230567683	CD
ControlTP15	Pre_floweringTP17	0.257274068	CD
ControlTP16	Pre_floweringTP17	0.236150976	CD
ControlTP17	Pre_floweringTP17	0.233401073	CD
ControlTP2	Pre_floweringTP17	0.694505223	CD
ControlTP3	Pre_floweringTP17	0.756724332	CD
ControlTP4	Pre_floweringTP17	0.600997007	CD
ControlTP5	Pre_floweringTP17	0.528193766	CD
ControlTP6	Pre_floweringTP17	0.362818491	CD
ControlTP7	Pre_floweringTP17	0.316981402	CD
ControlTP8	Pre_floweringTP17	0.267168083	CD
ControlTP9	Pre_floweringTP17	0.211016208	CD
ControlTP1	Pre_floweringTP3	0.538149115	CD
ControlTP10	Pre_floweringTP3	0.678611144	CD
ControlTP11	Pre_floweringTP3	0.753220664	CD
ControlTP12	Pre_floweringTP3	0.753868635	CD
ControlTP13	Pre_floweringTP3	0.759022223	CD
ControlTP14	Pre_floweringTP3	0.77238578	CD
ControlTP15	Pre_floweringTP3	0.787676292	CD
ControlTP16	Pre_floweringTP3	0.771793704	CD
ControlTP17	Pre_floweringTP3	0.752265464	CD
ControlTP2	Pre_floweringTP3	0.385627573	CD
ControlTP3	Pre_floweringTP3	0.164201736	CD
ControlTP4	Pre_floweringTP3	0.464374144	CD
ControlTP5	Pre_floweringTP3	0.576223032	CD
ControlTP6	Pre_floweringTP3	0.649837614	CD
ControlTP7	Pre_floweringTP3	0.670653874	CD
ControlTP8	Pre_floweringTP3	0.70633409	CD
ControlTP9	Pre_floweringTP3	0.692821921	CD
ControlTP1	Pre_floweringTP4	0.679138246	CD
ControlTP10	Pre_floweringTP4	0.759404146	CD
ControlTP11	Pre_floweringTP4	0.813327326	CD
ControlTP12	Pre_floweringTP4	0.818909603	CD
ControlTP13	Pre_floweringTP4	0.840892894	CD
ControlTP14	Pre_floweringTP4	0.832901389	CD
ControlTP15	Pre_floweringTP4	0.847886529	CD
ControlTP16	Pre_floweringTP4	0.834124998	CD
ControlTP17	Pre_floweringTP4	0.816521691	CD
ControlTP2	Pre_floweringTP4	0.461477037	CD
ControlTP3	Pre_floweringTP4	0.430834503	CD
ControlTP4	Pre_floweringTP4	0.510221227	CD
ControlTP5	Pre_floweringTP4	0.71909709	CD
ControlTP6	Pre_floweringTP4	0.753144074	CD
ControlTP7	Pre_floweringTP4	0.775289812	CD
ControlTP8	Pre_floweringTP4	0.799020028	CD
ControlTP9	Pre_floweringTP4	0.785592091	CD
ControlTP1	Pre_floweringTP5	0.586529621	CD
ControlTP10	Pre_floweringTP5	0.73470954	CD
ControlTP11	Pre_floweringTP5	0.80388778	CD
